dataset,task,axis,representation,model,split_seed,nominal_dose,partition,audit_amplification,audit_event,evaluation_amplification,evaluation_event,audit_test_rows,evaluation_test_rows
CASE,valence,subject,baseline_delta,gpu_mlp,20260911,0.75,audit,0.0799999999999999,1,0.0,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260911,1.0,audit,0.0257142857142856,1,-0.0111111111111111,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260923,0.25,heldout,0.0285714285714286,1,-0.0333333333333334,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260923,0.5,heldout,0.0428571428571429,1,0.0666666666666666,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260923,0.75,heldout,-0.0257142857142856,0,0.0222222222222221,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20260923,1.0,heldout,-0.0057142857142856,0,0.0222222222222221,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20261007,0.25,audit,-0.0714285714285714,0,-0.011111111111111,0,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20261007,0.5,audit,0.0,0,0.0222222222222221,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20261007,0.75,audit,-0.0457142857142857,0,0.0222222222222221,1,60,60
CASE,valence,subject,baseline_delta,gpu_mlp,20261007,1.0,audit,0.0485714285714286,1,-0.0222222222222222,0,60,60
CASE,valence,subject,baseline_delta,linear_logistic,20260813,0.25,heldout,-0.0142857142857143,0,0.011111111111111,0,60,60
CASE,valence,subject,baseline_delta,linear_logistic,20260813,0.5,heldout,0.0257142857142855,1,-0.0666666666666667,0,60,60
CASE,valence,subject,baseline_delta,linear_logistic,20260813,0.75,heldout,0.0542857142857141,1,-0.0222222222222223,0,60,60
CASE,valence,subject,baseline_delta,linear_logistic,20260813,1.0,heldout,0.0485714285714284,1,-0.0555555555555555,0,60,60
CASE,valence,subject,baseline_delta,linear_logistic,20260829,0.25,audit,0.06,1,0.1333333333333333,1,60,60
