dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,material_optimism_event,risk_row_id
DEAP,arousal,all,72,linear_logistic,20260923,0.0573191394943067,subject,0.0789325997367781,0.0861475285136236,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7456613574215292,0.4797278897842684,0.5370470292785752,0.0115940881270749,0.1114964861241677,0.07598481225928207,1.0,7.154615356913663,0.0411594436768162,0.0115940881270749,0.0544230136822242,0.0161596958174905,0.07455344038654871,0.024509586054553903,0.06575846421594804,0,34
DEAP,arousal,all,72,linear_logistic,20260923,0.0579822694677815,subject,0.0588081553687957,0.1114964861241677,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4797278897842684,0.5377101592520499,0.0115940881270749,0.1114964861241677,0.0983433850267073,1.0,7.154615356913663,0.0411594436768162,0.0115940881270749,0.0544230136822242,0.0168228257909653,0.0999023979970928,0.004385141686571503,0.08811703698337327,0,35
DEAP,arousal,all,72,linear_logistic,20261007,0.0287818579742009,subject,0.0874741650738292,0.0381532167767122,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503886555990415,0.5005950519914071,0.529376909965608,0.0117336164553045,0.1172610494604619,0.03369704028599464,1.0,7.154615356913663,0.029467680608365,0.0117336164553045,0.0325605615180068,-0.0006858226341640988,0.0264196003214077,0.0549136035558224,0.023333873565118287,0,36
DEAP,arousal,all,72,linear_logistic,20261007,0.0423545904731167,subject,0.0826103726744643,0.0645006045419157,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5002646601890488,0.5005950519914071,0.5429496424645238,0.0117336164553045,0.1172610494604619,0.05696713549580914,1.0,7.154615356913663,0.029467680608365,0.0117336164553045,0.0325605615180068,0.012886909864751703,0.0527669880866112,0.050049811156457506,0.04660396877493279,0,37
DEAP,arousal,all,72,linear_logistic,20261007,0.0511089146856813,subject,0.0872582986269332,0.090979186777726,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7510836816523201,0.5005950519914071,0.5517039666770884,0.0117336164553045,0.1172610494604619,0.0803531020720463,1.0,7.154615356913663,0.029467680608365,0.0117336164553045,0.0325605615180068,0.0216412340773163,0.0792455703224215,0.0546977371089264,0.06998993535116993,1,38
DEAP,arousal,all,72,linear_logistic,20261007,0.0324731974463192,subject,0.0917575348080217,0.1172610494604619,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5005950519914071,0.5330682494377263,0.0117336164553045,0.1172610494604619,0.10356532532425952,1.0,7.154615356913663,0.029467680608365,0.0117336164553045,0.0325605615180068,0.003005516837954199,0.10552743300515739,0.05919697329001491,0.09320215860338316,0,39
DEAP,arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.0380001210275237,subject,0.0644246145346276,0.0379342309283137,,,0.6382812499999999,0.03125,0.6070312499999999,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2498568920110395,0.4751288438845801,0.5131289649121038,0.0131108129825088,0.1124653171134664,0.023027263618202926,4.0,7.154615356913663,0.0417570170749664,0.0131108129825088,0.0492670681429953,-0.0037568960474426982,0.024823417945804904,0.015157546391632297,0.015068590424914381,0,40
DEAP,arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.0602817924176256,subject,0.061002066430879,0.0628947724372778,,,0.6382812499999999,0.03125,0.6070312499999999,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5009287084465756,0.4751288438845801,0.5354106363022058,0.0131108129825088,0.1124653171134664,0.03817909233106628,4.0,7.154615356913663,0.0417570170749664,0.0131108129825088,0.0492670681429953,0.0185247753426592,0.049783959454769,0.0117349982878837,0.030220419137777742,0,41
DEAP,arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.0314116852074108,subject,0.0549701731025371,0.0874128828270123,,,0.6382812499999999,0.03125,0.6070312499999999,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7477285219009511,0.4751288438845801,0.506540529091991,0.0131108129825088,0.1124653171134664,0.0530623515285848,4.0,7.154615356913663,0.0417570170749664,0.0131108129825088,0.0492670681429953,-0.010345331867555603,0.07430206984450351,0.005703104959541801,0.045103678335296264,0,42
DEAP,arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.0611441135238172,subject,0.0616600251321203,0.1124653171134664,,,0.6382812499999999,0.03125,0.6070312499999999,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4751288438845801,0.5362729574083973,0.0131108129825088,0.1124653171134664,0.06826996202903389,4.0,7.154615356913663,0.0417570170749664,0.0131108129825088,0.0492670681429953,0.019387096448850796,0.0993545041309576,0.012392956989125,0.060311288835745346,0,43
