population,task,split_seed,fold,nominal_dose,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,candidate_min,candidate_max,candidate_size,intervention_block_size,removed_control_size,n_train,n_test,subject_coverage,row_overlap_with_test
evaluation_population,valence,20260829,s3_r0,0.5,0.5152203006645871,0.3273460629863037,0.12727272727272732,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r0,0.75,0.7262040417201814,0.4580652856440159,0.12727272727272732,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r0,1.0,1.0,0.6277010815309156,-0.2545454545454545,0.008130957294339092,0.6277010815309156,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r1,0.0,0.0,0.0,0.0,0.0,0.8471115865425767,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r1,0.25,0.24797360596971765,0.21006131477369128,0.13461538461538458,0.0,0.8471115865425767,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r1,0.5,0.4887493052628804,0.41402519940282073,-0.033653846153846145,0.0,0.8471115865425767,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r1,0.75,0.7489393697560215,0.6344352177382209,0.13461538461538458,0.0,0.8471115865425767,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s3_r1,1.0,1.0,0.8471115865425767,-0.033653846153846145,0.0,0.8471115865425767,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r0,0.0,0.0,0.008130957294339092,0.0,0.008130957294339092,0.829198600737597,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r0,0.25,0.27318148423591837,0.2324314347882561,-0.09722222222222221,0.008130957294339092,0.829198600737597,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r0,0.5,0.4972110271647208,0.4163748436624781,-0.09722222222222221,0.008130957294339092,0.829198600737597,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r0,0.75,0.7545908417951116,0.6277010815309156,-0.09722222222222221,0.008130957294339092,0.829198600737597,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s4_r0,1.0,1.0,0.829198600737597,-0.09722222222222221,0.008130957294339092,0.829198600737597,21,10,10,168,21,1.0,0
