task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
arousal,baseline_delta,gpu_mlp,20260813,0.7351135816213948,0.25603438753228114,0.7351135816213948,0.25603438753228114,0.0,0.0,0.0,1.5177011035227153,0.5084569245038407,1.5177011035227153,0.5084569245038407,0.0,0.0,0.0
arousal,baseline_delta,gpu_mlp,20260829,0.7258563902891297,0.2975413922296322,0.7258563902891297,0.2975413922296322,0.0,0.0,0.0,1.4683516321003423,1.0851357870164953,1.4683516321003423,1.0851357870164953,0.0,0.0,0.0
arousal,baseline_delta,gpu_mlp,20260911,0.7620275421125564,0.2585696766098252,0.7620275421125564,0.2585696766098252,0.0,0.0,0.0,1.661177637219515,0.543681042265154,1.661177637219515,0.543681042265154,0.0,0.0,0.0
arousal,baseline_delta,gpu_mlp,20260923,0.733435833546151,0.25352511088374124,0.733435833546151,0.25352511088374124,0.0,0.0,0.0,1.508757140097804,0.4735942112350633,1.508757140097804,0.4735942112350633,0.0,0.0,0.0
arousal,baseline_delta,gpu_mlp,20261007,0.4870301944730282,0.2636506376795001,0.4870301944730282,0.2636506376795001,0.0,0.0,0.0,0.19518506328784155,0.6142735331349705,0.19518506328784155,0.6142735331349705,0.0,0.0,0.0
arousal,baseline_delta,linear_logistic,20260813,0.6726569675201073,0.2843578920882208,0.6726569675201073,0.2843578920882208,0.0,0.0,0.0,1.1847490468889779,0.9019704171971274,1.1847490468889779,0.9019704171971274,0.0,0.0,0.0
arousal,baseline_delta,linear_logistic,20260829,0.6732040426364286,0.32221665044591824,0.6732040426364286,0.32221665044591824,0.0,0.0,0.0,1.1876654679555592,1.4279622555639107,1.1876654679555592,1.4279622555639107,0.0,0.0,0.0
arousal,baseline_delta,linear_logistic,20260911,0.7059836145264649,0.28374766028071396,0.7059836145264649,0.28374766028071396,0.0,0.0,0.0,1.362411185977696,0.8934921425736504,1.362411185977696,0.8934921425736504,0.0,0.0,0.0
arousal,baseline_delta,linear_logistic,20260923,0.67136478056422,0.2926453461149279,0.67136478056422,0.2926453461149279,0.0,0.0,0.0,1.177860484152928,1.017112417832802,1.177860484152928,1.017112417832802,0.0,0.0,0.0
arousal,baseline_delta,linear_logistic,20261007,0.4056185920719704,0.26782359977898584,0.4056185920719704,0.26782359977898584,0.0,0.0,0.0,-0.2388147755334167,0.6722507120325226,-0.2388147755334167,0.6722507120325226,0.0,0.0,0.0
arousal,normalized_asymmetry,gpu_mlp,20260813,0.5997066247487621,0.27153393334752335,0.5997066247487621,0.27153393334752335,0.0,0.0,0.0,0.7958556205103814,0.7238003470266199,0.7958556205103814,0.7238003470266199,0.0,0.0,0.0
arousal,normalized_asymmetry,gpu_mlp,20260829,0.5924781640170853,0.309985277494856,0.5924781640170853,0.309985277494856,0.0,0.0,0.0,0.7573211770164554,1.2580252945179893,0.7573211770164554,1.2580252945179893,0.0,0.0,0.0
arousal,normalized_asymmetry,gpu_mlp,20260911,0.6509897300233851,0.2727016116266592,0.6509897300233851,0.2727016116266592,0.0,0.0,0.0,1.069242444587324,0.7400235215655371,1.069242444587324,0.7400235215655371,0.0,0.0,0.0
arousal,normalized_asymmetry,gpu_mlp,20260923,0.6195708569128666,0.29224939160924807,0.6195708569128666,0.29224939160924807,0.0,0.0,0.0,0.9017505212772209,1.0116112115759996,0.9017505212772209,1.0116112115759996,0.0,0.0,0.0
arousal,normalized_asymmetry,gpu_mlp,20261007,0.33237973559885703,0.22394764811711698,0.33237973559885703,0.22394764811711698,0.0,0.0,0.0,-0.6292462492710157,0.06265881108666849,-0.6292462492710157,0.06265881108666849,0.0,0.0,0.0
arousal,normalized_asymmetry,linear_logistic,20260813,0.5210698627933182,0.27978638495161867,0.5210698627933182,0.27978638495161867,0.0,0.0,0.0,0.3766482715877805,0.8384560404135757,0.3766482715877805,0.8384560404135757,0.0,0.0,0.0
arousal,normalized_asymmetry,linear_logistic,20260829,0.5231526071511375,0.3106092846580047,0.5231526071511375,0.3106092846580047,0.0,0.0,0.0,0.38775124326430555,1.2666949574741144,0.38775124326430555,1.2666949574741144,0.0,0.0,0.0
arousal,normalized_asymmetry,linear_logistic,20260911,0.5770177170629178,0.28137155518296414,0.5770177170629178,0.28137155518296414,0.0,0.0,0.0,0.6749025623679109,0.8604796523934487,0.6749025623679109,0.8604796523934487,0.0,0.0,0.0
arousal,normalized_asymmetry,linear_logistic,20260923,0.5497023617772813,0.3118542390753264,0.5497023617772813,0.3118542390753264,0.0,0.0,0.0,0.5292862197130754,1.2839917704457091,0.5292862197130754,1.2839917704457091,0.0,0.0,0.0
arousal,normalized_asymmetry,linear_logistic,20261007,0.2573564277446926,0.20095745675883725,0.2573564277446926,0.20095745675883725,0.0,0.0,0.0,-1.0291905146613987,-0.25675612858704683,-1.0291905146613987,-0.25675612858704683,0.0,0.0,0.0
arousal,relative_power,gpu_mlp,20260813,0.6203466192554988,0.27202349182826546,0.6203466192554988,0.27202349182826546,0.0,0.0,0.0,0.9058860587403872,0.7306020430262785,0.9058860587403872,0.7306020430262785,0.0,0.0,0.0
arousal,relative_power,gpu_mlp,20260829,0.6086018652908363,0.31157342705476804,0.6086018652908363,0.31157342705476804,0.0,0.0,0.0,0.8432755563386723,1.2800902998920942,0.8432755563386723,1.2800902998920942,0.0,0.0,0.0
