task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,population
arousal,normalized_asymmetry,12,linear_logistic,20260813,0.25,0.4531784005468216,0.4569377990430622,0.0037593984962405735,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,relative_power,24,gpu_mlp,20260813,0.25,0.5082023239917977,0.504442925495557,-0.003759398496240629,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,relative_power,24,linear_logistic,20260813,0.25,0.4979494190020506,0.4935064935064935,-0.004442925495557082,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,all,72,gpu_mlp,20260813,0.5,0.4524948735475051,0.47812713602187285,0.02563226247436773,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,all,72,linear_logistic,20260813,0.5,0.4261790840738209,0.4395078605604921,0.013328776486671245,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,baseline_delta,72,gpu_mlp,20260813,0.5,0.474025974025974,0.4825700615174299,0.00854408749145591,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,baseline_delta,72,linear_logistic,20260813,0.5,0.4849624060150376,0.5410116199589884,0.05604921394395079,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.5,0.4084073820915926,0.4589883800410116,0.050580997949419004,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260813,0.5,0.4531784005468216,0.4730006835269993,0.019822282980177686,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,relative_power,24,gpu_mlp,20260813,0.5,0.5082023239917977,0.5184552289815447,0.01025290498974707,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,relative_power,24,linear_logistic,20260813,0.5,0.4979494190020506,0.508544087491456,0.010594668489405379,0.4972113779556527,0.37003834833545224,0.08392857142857144,audit_population
arousal,all,72,gpu_mlp,20260813,0.75,0.4524948735475051,0.48564593301435405,0.03315105946684893,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,all,72,linear_logistic,20260813,0.75,0.4261790840738209,0.4589883800410116,0.03280929596719073,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,baseline_delta,72,gpu_mlp,20260813,0.75,0.474025974025974,0.45864661654135336,-0.01537935748462066,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,baseline_delta,72,linear_logistic,20260813,0.75,0.4849624060150376,0.5064935064935064,0.021531100478468845,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.75,0.4084073820915926,0.43814080656185916,0.029733424470266556,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260813,0.75,0.4531784005468216,0.4839371155160629,0.030758714969241263,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,relative_power,24,gpu_mlp,20260813,0.75,0.5082023239917977,0.5475051264524948,0.03930280246069717,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,relative_power,24,linear_logistic,20260813,0.75,0.4979494190020506,0.4935064935064935,-0.004442925495557082,0.734684368907701,0.5273918797214072,0.09213522588522591,audit_population
arousal,all,72,gpu_mlp,20260813,1.0,0.4524948735475051,0.475393028024607,0.022898154477101862,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,all,72,linear_logistic,20260813,1.0,0.4261790840738209,0.46924128503075874,0.04306220095693786,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,baseline_delta,72,gpu_mlp,20260813,1.0,0.474025974025974,0.47983595352016406,0.005809979494190043,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,baseline_delta,72,linear_logistic,20260813,1.0,0.4849624060150376,0.49624060150375937,0.011278195488721776,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260813,1.0,0.4084073820915926,0.45522898154477104,0.04682159945317843,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260813,1.0,0.4531784005468216,0.4859876965140123,0.03280929596719068,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,relative_power,24,gpu_mlp,20260813,1.0,0.5082023239917977,0.5416951469583049,0.03349282296650724,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,relative_power,24,linear_logistic,20260813,1.0,0.4979494190020506,0.5287081339712919,0.03075871496924132,1.0,0.7044244726310994,0.11571275946275947,audit_population
arousal,all,72,gpu_mlp,20260829,0.0,0.4805194805194805,0.49179767600820234,0.011278195488721832,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,all,72,linear_logistic,20260829,0.0,0.4887218045112782,0.5167464114832536,0.028024606971975397,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,baseline_delta,72,gpu_mlp,20260829,0.0,0.474025974025974,0.46582365003417636,-0.008202323991797655,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,baseline_delta,72,linear_logistic,20260829,0.0,0.46172248803827753,0.46274777853725224,0.001025290498974707,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260829,0.0,0.42857142857142855,0.45181134654818866,0.023239917976760116,0.0,0.02710409737226659,0.00972222222222222,audit_population
